,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,1,22.0,1,0,523,18,0,3
1,1,0,0,38.0,1,0,596,207,82,1
2,1,2,0,26.0,0,0,669,41,0,3
3,1,0,0,35.0,1,0,49,189,56,3
4,0,2,1,35.0,0,0,472,43,0,3
5,0,2,1,29.7,0,0,275,51,0,2
6,0,0,1,54.0,0,0,85,186,130,3
7,0,2,1,2.0,3,1,395,124,0,3
8,1,2,0,27.0,0,2,344,74,0,3
9,1,1,0,14.0,1,0,132,154,0,1
10,1,2,0,4.0,1,1,616,110,146,3
11,1,0,0,58.0,0,0,38,143,50,3
12,0,2,1,20.0,0,0,535,43,0,3
13,0,2,1,39.0,1,5,333,158,0,3
14,0,2,0,14.0,0,0,413,36,0,3
15,1,1,0,55.0,0,0,153,108,0,3
16,0,2,1,2.0,4,1,480,151,0,2
17,1,1,1,29.7,0,0,151,85,0,3
18,0,2,0,31.0,1,0,301,113,0,3
19,1,2,0,29.7,0,0,184,16,0,1
20,0,1,1,35.0,0,0,139,138,0,3
21,1,1,1,34.0,0,0,152,85,112,3
22,1,2,0,15.0,0,0,278,42,0,2
23,1,0,1,28.0,0,0,42,168,14,3
24,0,2,0,8.0,3,1,395,124,0,3
25,1,2,0,38.0,1,5,329,159,0,3
26,0,2,1,29.7,0,0,179,16,0,1
27,0,0,1,19.0,3,2,95,246,64,3
28,1,2,0,29.7,0,0,283,38,0,2
29,0,2,1,29.7,0,0,362,40,0,3
30,0,0,1,40.0,0,0,598,145,0,1
31,1,0,0,29.7,1,0,586,236,42,1
32,1,2,0,29.7,0,0,288,30,0,2
33,0,1,1,66.0,0,0,549,72,0,3
34,0,0,1,28.0,1,0,600,220,0,1
35,0,0,1,42.0,1,0,43,187,0,3
36,1,2,1,29.7,0,0,202,17,0,1
37,0,2,1,21.0,0,0,514,43,0,3
38,0,2,0,18.0,2,0,302,113,0,3
39,1,2,0,14.0,1,0,186,75,0,1
40,0,2,0,40.0,1,0,507,62,0,3
41,0,1,0,27.0,1,0,53,123,0,3
42,0,2,1,29.7,0,0,391,40,0,1
43,1,1,0,3.0,1,2,634,177,0,1
44,1,2,0,19.0,0,0,282,38,0,2
45,0,2,1,29.7,0,0,617,43,0,3
46,0,2,1,29.7,1,0,462,102,0,2
47,1,2,0,29.7,0,0,76,30,0,2
48,0,2,1,29.7,2,0,190,125,0,1
49,0,2,0,18.0,1,0,377,112,0,3
50,0,2,1,7.0,4,1,249,175,0,3
51,0,2,1,21.0,0,0,522,34,0,3
52,1,0,0,49.0,1,0,587,211,102,1
53,1,1,0,29.0,1,0,239,138,0,3
54,0,0,1,65.0,0,1,29,200,24,1
55,1,0,1,29.7,0,0,94,168,72,3
56,1,1,0,21.0,0,0,555,72,0,3
57,0,2,1,28.5,0,0,215,17,0,1
58,1,1,0,5.0,1,2,561,146,0,3
59,0,2,1,11.0,5,2,566,179,0,3
60,0,2,1,22.0,0,0,197,17,0,1
61,1,0,0,38.0,0,0,32,218,22,0
62,0,0,1,45.0,1,0,457,222,81,3
63,0,2,1,4.0,3,2,337,147,0,3
64,0,0,1,29.7,0,0,601,145,0,1
65,1,2,1,29.7,1,1,189,101,0,1
66,1,1,0,29.0,0,0,553,72,143,3
67,0,2,1,19.0,0,0,623,46,0,3
68,1,2,0,17.0,4,2,248,41,0,3
69,0,2,1,26.0,2,0,270,54,0,3
70,0,1,1,32.0,0,0,557,72,0,3
71,0,2,0,16.0,5,2,566,179,0,3
72,0,1,1,21.0,0,0,621,208,0,3
73,0,2,1,26.0,1,0,204,94,0,1
74,1,2,1,32.0,0,0,80,193,0,3
75,0,2,1,25.0,0,0,347,24,141,3
76,0,2,1,29.7,0,0,355,40,0,3
77,0,2,1,29.7,0,0,473,43,0,3
78,1,1,1,0.83,0,2,158,150,0,3
79,1,2,0,30.0,0,0,432,81,0,3
80,0,2,1,22.0,0,0,304,58,0,3
81,1,2,1,29.0,0,0,311,64,0,3
82,1,2,0,29.7,0,0,280,32,0,2
83,0,0,1,28.0,0,0,25,180,0,3
84,1,1,0,17.0,0,0,637,72,0,3
85,1,2,0,33.0,3,0,247,106,0,3
86,0,2,1,16.0,1,3,676,165,0,3
87,0,2,1,29.7,0,0,652,43,0,3
88,1,0,0,23.0,3,2,95,246,64,3
89,0,2,1,24.0,0,0,297,43,0,3
90,0,2,1,29.0,0,0,298,43,0,3
91,0,2,1,20.0,0,0,341,36,0,3
92,0,0,1,46.0,1,0,678,198,123,3
93,0,2,1,26.0,1,2,548,122,0,3
94,0,2,1,59.0,0,0,428,18,0,3
95,0,2,1,29.7,0,0,475,43,0,3
96,0,0,1,71.0,0,0,607,166,13,1
97,1,0,1,23.0,0,1,612,201,92,1
98,1,1,0,34.0,0,1,117,129,0,3
99,0,1,1,34.0,1,0,150,138,0,3
100,0,2,0,28.0,0,0,384,40,0,3
101,0,2,1,29.7,0,0,361,40,0,3
102,0,0,1,21.0,0,1,417,212,99,3
103,0,2,1,33.0,0,0,505,53,0,3
104,0,2,1,37.0,2,0,245,41,0,3
105,0,2,1,28.0,0,0,354,40,0,3
106,1,2,0,21.0,0,0,296,24,0,3
107,1,2,1,29.7,0,0,254,31,0,3
108,0,2,1,38.0,0,0,388,40,0,3
109,1,2,0,29.7,1,0,469,133,0,2
110,0,0,1,47.0,0,0,2,187,53,3
111,0,2,0,14.5,1,0,193,94,0,1
112,0,2,1,22.0,0,0,274,43,0,3
113,0,2,0,20.0,1,0,491,66,0,3
114,0,2,0,17.0,0,0,176,95,0,1
115,0,2,1,21.0,0,0,666,41,0,3
116,0,2,1,70.5,0,0,460,30,0,2
117,0,1,1,29.0,1,0,53,123,0,3
118,0,0,1,24.0,0,1,585,244,37,1
119,0,2,0,2.0,4,2,333,158,0,3
120,0,1,1,21.0,2,0,621,208,0,3
121,0,2,1,29.7,0,0,540,43,0,3
122,0,1,1,32.5,1,0,132,154,0,1
123,1,1,0,32.5,0,0,219,85,117,3
124,0,0,1,54.0,0,1,417,212,99,3
125,1,2,1,12.0,1,0,186,75,0,1
126,0,2,1,29.7,0,0,463,30,0,2
127,1,2,1,24.0,0,0,541,15,0,3
128,1,2,0,29.7,1,1,196,127,139,1
129,0,2,1,45.0,0,0,318,10,0,3
130,0,2,1,33.0,0,0,380,40,0,1
131,0,2,1,20.0,0,0,640,12,0,3
132,0,2,0,47.0,1,0,537,96,0,3
133,1,1,0,29.0,1,0,111,138,0,3
134,0,1,1,25.0,0,0,552,85,0,3
135,0,1,1,23.0,0,0,630,98,0,1
136,1,0,0,19.0,0,2,55,140,108,3
137,0,0,1,37.0,1,0,49,189,56,3
138,0,2,1,16.0,0,0,504,59,0,3
139,0,0,1,24.0,0,0,592,216,46,1
140,0,2,0,29.7,0,2,203,101,0,1
141,1,2,0,22.0,0,0,332,30,0,3
142,1,2,0,24.0,1,0,668,106,0,3
143,0,2,1,19.0,0,0,438,7,0,2
144,0,1,1,18.0,0,0,118,76,0,3
145,0,1,1,19.0,1,1,558,169,0,3
146,1,2,1,27.0,0,0,405,33,0,3
147,0,2,0,9.0,2,2,676,165,0,3
148,0,1,1,36.5,0,2,113,138,142,3
149,0,1,1,42.0,0,0,147,85,0,3
150,0,1,1,51.0,0,0,622,82,0,3
151,1,0,0,22.0,1,0,36,203,62,3
152,0,2,1,55.5,0,0,516,43,0,3
153,0,2,1,40.5,0,2,538,96,0,3
154,0,2,1,29.7,0,0,573,19,0,3
155,0,0,1,51.0,0,1,595,199,0,1
156,1,2,0,16.0,0,0,418,27,0,2
157,0,2,1,30.0,0,0,654,43,0,3
158,0,2,1,29.7,0,0,258,54,0,3
159,0,2,1,29.7,6,2,568,205,0,3
160,0,2,1,44.0,0,1,470,109,0,3
161,1,1,0,40.0,0,0,559,105,0,3
162,0,2,1,26.0,0,0,323,31,0,3
163,0,2,1,17.0,0,0,265,54,0,3
164,0,2,1,1.0,4,1,249,175,0,3
165,1,2,1,9.0,0,2,423,121,0,3
166,1,0,0,29.7,0,1,28,190,124,3
167,0,2,0,45.0,1,4,337,147,0,3
168,0,0,1,29.7,0,0,576,136,0,3
169,0,2,1,28.0,0,0,80,193,0,3
170,0,0,1,61.0,0,0,5,163,19,3
171,0,2,1,4.0,4,1,480,151,0,2
172,1,2,0,1.0,1,1,344,74,0,3
173,0,2,1,21.0,0,0,659,41,0,3
174,0,0,1,56.0,0,0,90,156,15,1
175,0,2,1,18.0,1,1,412,36,0,3
176,0,2,1,29.7,3,1,488,134,0,3
177,0,0,0,50.0,0,0,593,149,70,1
178,0,1,1,30.0,0,0,169,85,0,3
179,0,2,1,36.0,0,0,574,0,0,3
180,0,2,0,29.7,6,2,568,205,0,3
181,0,1,1,29.7,0,0,629,99,0,1
182,0,2,1,9.0,4,2,329,159,0,3
183,1,1,1,1.0,2,1,114,172,145,3
184,1,2,0,4.0,0,2,271,126,0,3
185,0,0,1,29.7,0,0,34,183,10,3
186,1,2,0,29.7,1,0,459,102,0,2
187,1,0,1,45.0,0,0,11,143,0,3
188,0,2,1,40.0,1,1,435,102,0,2
189,0,2,1,36.0,0,0,386,40,0,3
190,1,1,0,32.0,0,0,122,85,0,3
191,0,1,1,19.0,0,0,227,85,0,3
192,1,2,0,19.0,1,0,406,36,0,3
193,1,1,1,3.0,1,1,113,138,142,3
194,1,0,0,44.0,0,0,604,145,29,1
195,1,0,0,58.0,0,0,586,236,44,1
196,0,2,1,29.7,0,0,452,30,0,2
197,0,2,1,42.0,0,1,494,49,0,3
198,1,2,0,29.7,0,0,461,30,0,2
199,0,1,0,24.0,0,0,160,85,0,3
200,0,2,1,28.0,0,0,306,64,0,3
201,0,2,1,29.7,6,2,568,205,0,3
202,0,2,1,34.0,0,0,242,6,0,3
203,0,2,1,45.5,0,0,177,16,0,1
204,1,2,1,18.0,0,0,530,43,0,3
205,0,2,0,2.0,0,1,316,71,146,3
206,0,2,1,32.0,1,0,247,106,0,3
207,1,2,1,26.0,0,0,216,115,0,1
208,1,2,0,16.0,0,0,445,30,0,2
209,1,0,1,40.0,0,0,17,157,9,1
210,0,2,1,24.0,0,0,642,12,0,3
211,1,1,0,35.0,0,0,570,123,0,3
212,0,2,1,22.0,0,0,526,18,0,3
213,0,1,1,30.0,0,0,163,85,0,3
214,0,2,1,29.7,1,0,443,30,0,2
215,1,0,0,31.0,1,0,416,231,104,1
216,1,2,0,27.0,0,0,670,41,0,3
217,0,1,1,42.0,1,0,142,144,0,3
218,1,0,0,32.0,0,0,63,210,94,1
219,0,1,1,30.0,0,0,679,72,0,3
220,1,2,1,16.0,0,0,653,43,0,3
221,0,1,1,27.0,0,0,105,85,0,3
222,0,2,1,51.0,0,0,102,43,0,3
223,0,2,1,29.7,0,0,375,40,0,3
224,1,0,1,38.0,1,0,93,225,88,3
225,0,2,1,22.0,0,0,615,61,0,3
226,1,1,1,19.0,0,0,672,72,0,3
227,0,2,1,20.5,0,0,525,18,0,3
228,0,1,1,18.0,0,0,125,85,0,3
229,0,2,0,29.7,3,1,488,134,0,3
230,1,0,0,35.0,1,0,457,222,81,3
231,0,2,1,29.0,0,0,322,31,0,3
232,0,1,1,59.0,0,0,128,87,0,3
233,1,2,0,5.0,4,2,329,159,0,3
234,0,1,1,24.0,0,0,554,72,0,3
235,0,2,0,29.7,0,0,677,22,0,3
236,0,1,1,44.0,1,0,198,138,0,3
237,1,1,0,8.0,0,2,556,139,0,3
238,0,1,1,19.0,0,0,231,72,0,3
239,0,1,1,33.0,0,0,636,78,0,3
240,0,2,0,29.7,1,0,193,94,0,1
241,1,2,0,29.7,1,0,444,102,0,2
242,0,1,1,29.0,0,0,674,72,0,3
243,0,2,1,22.0,0,0,658,14,0,3
244,0,2,1,30.0,0,0,213,16,0,1
245,0,0,1,44.0,2,0,92,225,79,2
246,0,2,0,25.0,0,0,325,31,0,3
247,1,1,0,24.0,0,2,166,96,0,3
248,1,0,1,37.0,1,1,54,188,103,3
249,0,1,1,54.0,1,0,144,138,0,3
250,0,2,1,29.7,0,0,422,18,0,3
251,0,2,0,29.0,1,1,316,71,146,3
252,0,0,1,62.0,0,0,31,143,84,3
253,0,2,1,30.0,1,0,536,109,0,3
254,0,2,0,41.0,0,2,458,119,0,3
255,1,2,0,29.0,0,2,185,101,0,1
256,1,0,0,29.7,0,0,589,216,0,1
257,1,0,0,30.0,0,0,0,223,41,3
258,1,0,0,35.0,0,0,608,247,0,1
259,1,1,0,50.0,0,1,115,138,0,3
260,0,2,1,29.7,0,0,482,30,0,2
261,1,2,1,3.0,4,2,329,159,0,3
262,0,0,1,52.0,1,1,1,217,135,3
263,0,0,1,40.0,0,0,16,0,47,3
264,0,2,0,29.7,0,0,478,30,0,2
265,0,1,1,36.0,0,0,546,72,0,3
266,0,2,1,16.0,4,1,249,175,0,3
267,1,2,1,25.0,1,0,334,31,0,3
268,1,0,0,58.0,0,1,588,238,58,3
269,1,0,0,35.0,0,0,613,235,90,3
270,0,0,1,29.7,0,0,47,157,0,3
271,1,2,1,25.0,0,0,574,0,0,3
272,1,1,0,41.0,0,1,162,117,0,3
273,0,0,1,37.0,0,1,594,152,55,1
274,1,2,0,29.7,0,0,465,30,0,2
275,1,0,0,63.0,1,0,71,213,114,3
276,0,2,0,45.0,0,0,326,30,0,3
277,0,1,1,29.7,0,0,135,0,0,3
278,0,2,1,7.0,4,1,480,151,0,2
279,1,2,0,35.0,1,1,551,120,0,3
280,0,2,1,65.0,0,0,290,30,0,2
281,0,2,1,28.0,0,0,340,36,0,3
282,0,2,1,16.0,0,0,310,64,0,3
283,1,2,1,19.0,0,0,533,43,0,3
284,0,0,1,29.7,0,0,24,138,4,3
285,0,2,1,33.0,0,0,378,54,0,1
286,1,2,1,30.0,0,0,308,64,0,3
287,0,2,1,22.0,0,0,353,40,0,3
288,1,1,1,42.0,0,0,134,85,0,3
289,1,2,0,22.0,0,0,464,30,0,2
290,1,0,0,26.0,0,0,91,215,0,3
291,1,0,0,19.0,1,0,64,226,32,1
292,0,1,1,36.0,0,0,635,84,91,1
293,0,2,0,24.0,0,0,376,57,0,3
294,0,2,1,24.0,0,0,374,40,0,3
295,0,0,1,29.7,0,0,606,145,0,1
296,0,2,1,23.5,0,0,212,17,0,1
297,0,0,0,2.0,1,2,37,237,63,3
298,1,0,1,29.7,0,0,98,155,52,3
299,1,0,0,50.0,0,1,585,244,37,1
300,1,2,0,29.7,0,0,513,30,0,2
301,1,2,1,29.7,2,0,441,130,0,2
302,0,2,1,19.0,0,0,574,0,0,3
303,1,1,0,29.7,0,0,109,80,117,2
304,0,2,1,29.7,0,0,527,43,0,3
305,1,0,1,0.92,1,2,37,237,63,3
306,1,0,0,29.7,0,0,83,230,0,1
307,1,0,0,17.0,1,0,611,229,75,1
308,0,1,1,30.0,1,0,575,132,0,1
309,1,0,0,30.0,0,0,584,194,126,1
310,1,0,0,24.0,0,0,59,221,73,1
311,1,0,0,18.0,2,2,602,245,36,1
312,0,1,0,26.0,1,1,167,138,0,3
313,0,2,1,28.0,0,0,382,40,0,3
314,0,1,1,43.0,1,1,571,139,0,3
315,1,2,0,26.0,0,0,343,36,0,3
316,1,1,0,24.0,1,0,150,138,0,3
317,0,1,1,54.0,0,0,232,91,0,3
318,1,0,0,31.0,0,2,453,239,77,3
319,1,0,0,40.0,1,1,81,234,125,1
320,0,2,1,22.0,0,0,524,18,0,3
321,0,2,1,27.0,0,0,365,40,0,3
322,1,1,0,30.0,0,0,124,80,0,2
323,1,1,0,22.0,1,1,158,150,0,3
324,0,2,1,29.7,6,2,568,205,0,3
325,1,0,0,36.0,0,0,613,235,66,1
326,0,2,1,61.0,0,0,299,3,0,3
327,1,1,0,36.0,0,0,229,85,91,3
328,1,2,0,31.0,1,1,423,121,0,3
329,1,0,0,16.0,0,1,7,196,18,1
330,1,2,0,29.7,2,0,441,130,0,2
331,0,0,1,45.5,0,0,20,148,57,3
332,0,0,1,38.0,0,1,588,238,86,3
333,0,2,1,16.0,2,0,302,113,0,3
334,1,0,0,29.7,1,0,605,233,0,3
335,0,2,1,29.7,0,0,370,40,0,3
336,0,0,1,29.0,1,0,36,203,62,3
337,1,0,0,41.0,0,0,81,234,128,1
338,1,2,1,45.0,0,0,510,43,0,3
339,0,0,1,45.0,0,0,39,168,147,3
340,1,1,1,2.0,1,1,113,138,142,3
341,1,0,0,24.0,3,2,95,246,64,3
342,0,1,1,28.0,0,0,159,85,0,3
343,0,1,1,25.0,0,0,149,85,0,3
344,0,1,1,36.0,0,0,112,85,0,3
345,1,1,0,24.0,0,0,157,85,143,3
346,1,1,0,40.0,0,0,257,85,0,3
347,1,2,0,29.7,1,0,483,109,0,3
348,1,2,1,3.0,1,1,562,107,0,3
349,0,2,1,42.0,0,0,262,54,0,3
350,0,2,1,23.0,0,0,503,60,0,3
351,0,0,1,29.7,0,0,30,167,60,3
352,0,2,1,15.0,1,1,214,17,0,1
353,0,2,1,25.0,1,0,377,112,0,3
354,0,2,1,29.7,0,0,182,16,0,1
355,0,2,1,28.0,0,0,314,64,0,3
356,1,0,0,22.0,0,1,28,190,124,3
357,0,1,0,38.0,0,0,131,85,0,3
358,1,2,0,29.7,0,0,279,38,0,2
359,1,2,0,29.7,0,0,285,38,0,2
360,0,2,1,40.0,1,4,337,147,0,3
361,0,1,1,29.0,1,0,633,145,0,1
362,0,2,0,45.0,0,1,211,94,0,1
363,0,2,1,35.0,0,0,641,12,0,3
364,0,2,1,29.7,1,0,459,102,0,2
365,0,2,1,30.0,0,0,544,18,0,3
366,1,0,0,60.0,1,0,4,209,105,1
367,1,2,0,29.7,0,0,175,17,0,1
368,1,2,0,29.7,0,0,78,30,0,2
369,1,0,0,24.0,0,0,581,204,25,1
370,1,0,1,25.0,1,0,58,191,132,1
371,0,2,1,18.0,1,0,244,6,0,3
372,0,2,1,19.0,0,0,273,43,0,3
373,0,0,1,22.0,0,0,613,235,0,1
374,0,2,0,3.0,3,1,395,124,0,3
375,1,0,0,29.7,1,0,600,220,0,1
376,1,2,0,22.0,0,0,545,18,0,3
377,0,0,1,27.0,0,2,27,241,80,1
378,0,2,1,20.0,0,0,183,1,0,1
379,0,2,1,19.0,0,0,324,31,0,3
380,1,0,0,42.0,0,0,610,243,0,1
381,1,2,0,1.0,0,2,187,104,0,1
382,0,2,1,32.0,0,0,665,41,0,3
383,1,0,0,35.0,1,0,43,187,0,3
384,0,2,1,29.7,0,0,371,40,0,3
385,0,1,1,18.0,0,0,621,208,0,3
386,0,2,1,1.0,5,2,566,179,0,3
387,1,1,0,36.0,0,0,220,85,0,3
388,0,2,1,29.7,0,0,447,26,0,2
389,1,1,0,17.0,0,0,625,77,0,1
390,1,0,1,36.0,1,2,33,232,48,3
391,1,2,1,21.0,0,0,401,33,0,3
392,0,2,1,28.0,2,0,246,41,0,3
393,1,0,0,23.0,1,0,416,231,104,1
394,1,2,0,24.0,0,2,616,110,146,3
395,0,2,1,22.0,0,0,410,33,0,3
396,0,2,0,31.0,0,0,414,36,0,3
397,0,1,1,46.0,0,0,226,138,0,3
398,0,1,1,23.0,0,0,146,72,0,3
399,1,1,0,28.0,0,0,140,83,0,3
400,1,2,1,39.0,0,0,663,41,0,3
401,0,2,1,26.0,0,0,292,43,0,3
402,0,2,0,21.0,1,0,492,66,0,3
403,0,2,1,28.0,1,0,668,106,0,3
404,0,2,0,20.0,0,0,267,54,0,3
405,0,1,1,34.0,1,0,230,123,0,3
406,0,2,1,51.0,0,0,321,30,0,3
407,1,1,1,3.0,1,1,237,114,0,3
408,0,2,1,21.0,0,0,255,31,0,3
409,0,2,0,29.7,3,1,488,134,0,3
410,0,2,1,29.7,0,0,367,40,0,3
411,0,2,1,29.7,0,0,487,8,0,2
412,1,0,0,33.0,1,0,92,225,79,2
413,0,1,1,29.7,0,0,135,0,0,3
414,1,2,1,44.0,0,0,655,41,0,3
415,0,2,0,29.7,0,0,295,43,0,3
416,1,1,0,34.0,1,1,224,161,0,3
417,1,1,0,18.0,0,2,168,85,0,3
418,0,1,1,30.0,0,0,225,85,0,3
419,0,2,0,10.0,0,2,307,133,0,3
420,0,2,1,29.7,0,0,392,40,0,1
421,0,2,1,21.0,0,0,534,27,0,2
422,0,2,1,29.0,0,0,259,37,0,3
423,0,2,0,28.0,1,1,331,93,0,3
424,0,2,1,18.0,1,1,458,119,0,3
425,0,2,1,29.7,0,0,521,18,0,3
426,1,1,0,28.0,1,0,100,138,0,3
427,1,1,0,19.0,0,0,170,138,0,3
428,0,2,1,29.7,0,0,437,30,0,2
429,1,2,1,32.0,0,0,644,43,116,3
430,1,0,1,28.0,0,0,3,143,72,3
431,1,2,0,29.7,1,0,476,109,0,3
432,1,1,0,42.0,1,0,627,138,0,3
433,0,2,1,17.0,0,0,657,14,0,3
434,0,0,1,50.0,1,0,72,192,129,3
435,1,0,0,14.0,1,2,33,232,48,3
436,0,2,0,21.0,2,2,676,165,0,3
437,1,1,0,24.0,2,3,237,114,0,3
438,0,0,1,64.0,1,4,95,246,64,3
439,0,1,1,31.0,0,0,547,72,0,3
440,1,1,0,45.0,1,1,571,139,0,3
441,0,2,1,20.0,0,0,305,64,0,3
442,0,2,1,25.0,1,0,328,31,0,3
443,1,1,0,28.0,0,0,116,85,0,3
444,1,2,1,29.7,0,0,499,44,0,3
445,1,0,1,4.0,0,2,289,219,11,3
