,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
446,1,1,0,13.0,0,1,162,117,0,3
447,1,0,1,34.0,0,0,45,143,0,3
448,1,2,0,5.0,2,1,194,116,0,1
449,1,0,1,52.0,0,0,40,155,51,3
450,0,1,1,36.0,1,2,561,146,0,3
451,0,2,1,29.7,1,0,497,118,0,3
452,0,0,1,30.0,0,0,22,146,54,1
453,1,0,1,49.0,1,0,84,224,87,1
454,0,2,1,29.7,0,0,528,43,0,3
455,1,2,1,29.0,0,0,379,40,0,1
456,0,0,1,65.0,0,0,73,143,127,3
457,1,0,0,29.7,1,0,86,186,98,3
458,1,1,0,50.0,0,0,572,72,0,3
459,0,2,1,29.7,0,0,468,30,0,2
460,1,0,1,48.0,0,0,96,143,118,3
461,0,2,1,34.0,0,0,429,43,0,3
462,0,0,1,47.0,0,0,6,171,134,3
463,0,1,1,48.0,0,0,121,85,0,3
464,0,2,1,29.7,0,0,539,43,0,3
465,0,2,1,38.0,0,0,639,12,0,3
466,0,1,1,29.7,0,0,135,0,0,3
467,0,0,1,56.0,0,0,44,143,0,3
468,0,2,1,29.7,0,0,421,25,0,2
469,1,2,0,0.75,2,1,194,116,0,1
470,0,2,1,29.7,0,0,272,18,0,3
471,0,2,1,38.0,0,0,263,54,0,3
472,1,1,0,33.0,1,2,561,146,0,3
473,1,1,0,23.0,0,0,628,88,91,1
474,0,2,0,22.0,0,0,509,67,0,3
475,0,0,1,29.7,0,0,2,187,2,3
476,0,1,1,34.0,1,0,252,123,0,3
477,0,2,1,29.0,1,0,315,11,0,3
478,0,2,1,22.0,0,0,411,21,0,3
479,1,2,0,2.0,0,1,251,79,0,3
480,0,2,1,9.0,5,2,566,179,0,3
481,0,1,1,29.7,0,0,136,0,0,3
482,0,2,1,50.0,0,0,531,43,0,3
483,1,2,0,63.0,0,0,489,65,0,3
484,1,0,1,25.0,1,0,64,226,32,1
485,0,2,0,29.7,3,1,488,134,0,3
486,1,0,0,35.0,1,0,93,225,88,3
487,0,0,1,58.0,0,0,61,152,26,1
488,0,2,1,30.0,0,0,517,43,0,3
489,1,2,1,9.0,1,1,562,107,0,3
490,0,2,1,29.7,1,0,498,118,0,3
491,0,2,1,21.0,0,0,649,18,0,3
492,0,0,1,55.0,0,0,41,155,65,3
493,0,0,1,71.0,0,0,603,182,0,1
494,0,2,1,21.0,0,0,518,43,0,3
495,0,2,1,29.7,0,0,176,95,0,1
496,1,0,0,54.0,1,0,454,214,97,1
497,0,2,1,29.7,0,0,564,100,0,3
498,0,0,0,25.0,1,2,37,237,63,3
499,0,2,1,24.0,0,0,402,33,0,3
500,0,2,1,17.0,0,0,261,54,0,3
501,0,2,0,21.0,0,0,433,30,0,2
502,0,2,0,29.7,0,0,276,23,0,2
503,0,2,0,37.0,0,0,490,65,0,3
504,1,0,0,16.0,0,0,0,223,43,3
505,0,0,1,18.0,1,0,611,229,75,1
506,1,1,0,33.0,0,2,180,138,0,3
507,1,0,1,29.7,0,0,10,143,0,3
508,0,2,1,28.0,0,0,542,128,0,3
509,1,2,1,26.0,0,0,80,193,0,3
510,1,2,1,29.0,0,0,479,30,0,2
511,0,2,1,29.7,0,0,648,43,0,3
512,1,0,1,36.0,0,0,577,141,122,3
513,1,0,0,54.0,1,0,599,197,0,1
514,0,2,1,24.0,0,0,356,20,0,3
515,0,0,1,47.0,0,0,456,164,107,3
516,1,1,0,34.0,0,0,560,72,143,3
517,0,2,1,29.7,0,0,469,133,0,2
518,1,1,0,36.0,1,0,110,138,0,3
519,0,2,1,32.0,0,0,381,40,0,3
520,1,0,0,30.0,0,0,67,227,40,3
521,0,2,1,22.0,0,0,390,40,0,3
522,0,2,1,29.7,0,0,173,16,0,1
523,1,0,0,44.0,0,1,7,196,18,1
524,0,2,1,29.7,0,0,217,17,0,1
525,0,2,1,40.5,0,0,446,30,0,2
526,1,1,0,50.0,0,0,673,72,0,3
527,0,0,1,29.7,0,0,583,242,89,3
528,0,2,1,39.0,0,0,250,41,0,3
529,0,1,1,23.0,2,1,235,76,0,3
530,1,1,0,2.0,1,1,180,138,0,3
531,0,2,1,29.7,0,0,181,17,0,1
532,0,2,1,17.0,1,1,210,17,0,1
533,1,2,0,29.7,0,2,196,127,0,1
534,0,2,0,30.0,0,0,260,54,0,3
535,1,1,0,7.0,0,2,571,139,0,3
536,0,0,1,45.0,0,0,21,143,27,3
537,1,0,0,30.0,0,0,614,228,0,1
538,0,2,1,29.7,0,0,426,96,0,3
539,1,0,0,22.0,0,2,75,181,28,1
540,1,0,0,36.0,0,2,680,206,21,3
541,0,2,0,9.0,4,2,333,158,0,3
542,0,2,0,11.0,4,2,333,158,0,3
543,1,1,1,32.0,1,0,233,138,0,3
544,0,0,1,50.0,1,0,614,228,83,1
545,0,0,1,64.0,0,0,501,138,0,3
546,1,1,0,19.0,1,0,233,138,0,3
547,1,1,1,29.7,0,0,631,90,0,1
548,0,2,1,33.0,1,1,423,121,0,3
549,1,1,1,8.0,1,1,558,169,0,3
550,1,0,1,17.0,0,2,83,230,78,1
551,0,1,1,27.0,0,0,148,138,0,3
552,0,2,1,29.7,0,0,284,35,0,2
553,1,2,1,22.0,0,0,171,16,0,1
554,1,2,0,22.0,0,0,335,31,0,3
555,0,0,1,62.0,0,0,52,143,0,3
556,1,0,0,48.0,1,0,57,174,3,1
557,0,0,1,29.7,0,0,610,243,0,1
558,1,0,0,39.0,1,1,1,217,135,3
559,1,2,0,36.0,1,0,300,111,0,3
560,0,2,1,29.7,0,0,471,30,0,2
561,0,2,1,40.0,0,0,389,40,0,3
562,0,1,1,28.0,0,0,103,87,0,3
563,0,2,1,29.7,0,0,651,43,0,3
564,0,2,0,29.7,0,0,645,43,0,3
565,0,2,1,24.0,2,0,519,133,0,3
566,0,2,1,19.0,0,0,352,40,0,3
567,0,2,0,29.0,0,4,395,124,0,3
568,0,2,1,29.7,0,0,207,17,0,1
569,1,2,1,32.0,0,0,415,36,0,3
570,1,1,1,62.0,0,0,624,72,0,3
571,1,0,0,53.0,2,0,60,185,49,3
572,1,0,1,36.0,0,0,578,142,122,3
573,1,2,0,29.7,0,0,77,30,0,2
574,0,2,1,16.0,0,0,520,43,0,3
575,0,2,1,19.0,0,0,420,96,0,3
576,1,1,0,34.0,0,0,143,85,0,3
577,1,0,0,39.0,1,0,72,192,129,3
578,0,2,0,29.7,1,0,209,95,0,1
579,1,2,1,32.0,0,0,661,41,0,3
580,1,1,0,25.0,1,1,133,153,0,3
581,1,0,0,39.0,1,1,83,230,76,1
582,0,1,1,54.0,0,0,226,138,0,3
583,0,0,1,36.0,0,0,68,176,1,1
584,0,2,1,29.7,0,0,291,56,0,1
585,1,0,0,18.0,0,2,1,217,136,3
586,0,1,1,47.0,0,0,129,97,0,3
587,1,0,1,60.0,1,1,74,216,30,1
588,0,2,1,22.0,0,0,79,43,0,3
589,0,2,1,29.7,0,0,515,43,0,3
590,0,2,1,35.0,0,0,656,14,0,3
591,1,0,0,52.0,1,0,454,214,97,1
592,0,2,1,47.0,0,0,532,18,0,3
593,0,2,0,29.7,0,2,434,30,0,2
594,0,1,1,37.0,1,0,626,138,0,3
595,0,2,1,36.0,1,1,307,133,0,3
596,1,1,0,29.7,0,0,155,162,0,3
597,0,2,1,49.0,0,0,574,0,0,3
598,0,2,1,29.7,0,0,192,16,0,1
599,1,0,1,49.0,1,0,584,194,5,1
600,1,1,0,24.0,2,1,142,144,0,3
601,0,2,1,29.7,0,0,360,40,0,3
602,0,0,1,29.7,0,0,46,178,0,3
603,0,2,1,44.0,0,0,430,43,0,3
604,1,0,1,35.0,0,0,9,143,0,1
605,0,2,1,36.0,1,0,396,103,0,3
606,0,2,1,30.0,0,0,385,40,0,3
607,1,0,1,27.0,0,0,50,155,0,3
608,1,1,0,22.0,1,2,634,177,0,1
609,1,0,0,40.0,0,0,588,238,58,3
610,0,2,0,39.0,1,5,333,158,0,3
611,0,2,1,29.7,0,0,638,12,0,3
612,1,2,0,29.7,1,0,444,102,0,2
613,0,2,1,29.7,0,0,467,30,0,2
614,0,2,1,35.0,0,0,431,43,0,3
615,1,1,0,24.0,1,2,106,202,0,3
616,0,2,1,34.0,1,1,331,93,0,3
617,0,2,0,26.0,1,0,536,109,0,3
618,1,1,0,4.0,2,1,114,172,145,3
619,0,1,1,26.0,0,0,253,72,0,3
620,0,2,1,27.0,1,0,188,94,0,1
621,1,0,1,42.0,1,0,56,188,96,3
622,1,2,1,20.0,1,1,187,104,0,1
623,0,2,1,21.0,0,0,400,36,0,3
624,0,2,1,21.0,0,0,495,109,0,3
625,0,0,1,61.0,0,0,455,160,111,3
626,0,1,1,57.0,0,0,104,80,0,2
627,1,0,0,21.0,0,0,71,213,115,3
628,0,2,1,26.0,0,0,369,40,0,3
629,0,2,1,29.7,0,0,286,27,0,2
630,1,0,1,80.0,0,0,218,153,6,3
631,0,2,1,51.0,0,0,345,13,0,3
632,1,0,1,32.0,0,0,70,155,34,1
633,0,0,1,29.7,0,0,13,0,0,3
634,0,2,0,9.0,3,2,337,147,0,3
635,1,1,0,28.0,0,0,130,85,0,3
636,0,2,1,32.0,0,0,664,41,0,3
637,0,1,1,31.0,1,1,556,139,0,3
638,0,2,0,41.0,0,5,249,175,0,3
639,0,2,1,29.7,1,0,476,109,0,3
640,0,2,1,20.0,0,0,409,36,0,3
641,1,0,0,24.0,0,0,581,204,25,1
642,0,2,0,2.0,3,2,337,147,0,3
643,1,2,1,29.7,0,0,80,193,0,3
644,1,2,0,0.75,2,1,194,116,0,1
645,1,0,1,48.0,1,0,587,211,102,1
646,0,2,1,19.0,0,0,373,40,0,3
647,1,0,1,56.0,0,0,69,168,8,1
648,0,2,1,29.7,0,0,620,22,0,3
649,1,2,0,23.0,0,0,567,22,0,3
650,0,2,1,29.7,0,0,366,40,0,3
651,1,1,0,18.0,0,1,117,129,0,3
652,0,2,1,21.0,0,0,512,50,0,3
653,1,2,0,29.7,0,0,277,35,0,2
654,0,2,0,18.0,0,0,439,7,0,2
655,0,1,1,24.0,2,0,621,208,0,3
656,0,2,1,29.7,0,0,368,40,0,3
657,0,2,0,32.0,1,1,435,102,0,2
658,0,1,1,23.0,0,0,241,85,0,3
659,0,0,1,58.0,0,2,416,231,109,1
660,1,0,1,50.0,2,0,605,233,0,3
661,0,2,1,40.0,0,0,172,16,0,1
662,0,0,1,47.0,0,0,496,135,133,3
663,0,2,1,36.0,0,0,357,20,0,3
664,1,2,1,20.0,1,0,660,41,0,3
665,0,1,1,32.0,2,0,621,208,0,3
666,0,1,1,25.0,0,0,123,85,0,3
667,0,2,1,29.7,0,0,256,31,0,3
668,0,2,1,43.0,0,0,529,43,0,3
669,1,0,0,29.7,1,0,99,187,59,3
670,1,1,0,40.0,1,1,240,172,0,3
671,0,0,1,31.0,1,0,569,187,39,3
672,0,1,1,70.0,0,0,550,72,0,3
673,1,1,1,31.0,0,0,145,85,0,3
674,0,1,1,29.7,0,0,138,0,0,3
675,0,2,1,18.0,0,0,397,31,0,3
676,0,2,1,24.5,0,0,294,43,0,3
677,1,2,0,18.0,0,0,493,68,0,3
678,0,2,0,43.0,1,6,566,179,0,3
679,1,0,1,36.0,0,1,608,247,35,1
680,0,2,0,29.7,0,0,281,45,0,2
681,1,0,1,27.0,0,0,587,211,110,1
682,0,2,1,20.0,0,0,500,60,0,3
683,0,2,1,14.0,5,2,566,179,0,3
684,0,1,1,60.0,1,1,240,172,0,3
685,0,1,1,25.0,1,2,634,177,0,1
686,0,2,1,14.0,4,1,249,175,0,3
687,0,2,1,19.0,0,0,372,70,0,3
688,0,2,1,18.0,0,0,403,33,0,3
689,1,0,0,15.0,0,1,141,240,33,3
690,1,0,1,31.0,1,0,89,195,20,3
691,1,2,0,4.0,0,1,393,86,0,1
692,1,2,1,29.7,0,0,80,193,0,3
693,0,2,1,25.0,0,0,200,16,0,1
694,0,0,1,60.0,0,0,48,143,0,3
695,0,1,1,52.0,0,0,156,87,0,3
696,0,2,1,44.0,0,0,425,43,0,3
697,1,2,0,29.7,0,0,419,27,0,2
698,0,0,1,49.0,1,1,83,230,76,1
699,0,2,1,42.0,0,0,346,24,140,3
700,1,0,0,18.0,1,0,610,243,74,1
701,1,0,1,35.0,0,0,579,141,121,3
702,0,2,0,18.0,0,1,211,94,0,1
703,0,2,1,25.0,0,0,449,29,0,2
704,0,2,1,26.0,1,0,398,36,0,3
705,0,1,1,39.0,0,0,170,138,0,3
706,1,1,0,45.0,0,0,108,87,0,3
707,1,0,1,42.0,0,0,580,141,121,3
708,1,0,0,22.0,0,0,37,237,0,3
709,1,2,1,29.7,1,1,189,101,0,1
710,1,0,0,24.0,0,0,582,182,85,1
711,0,0,1,29.7,0,0,19,143,57,3
712,1,0,1,48.0,1,0,99,187,59,3
713,0,2,1,29.0,0,0,506,63,0,3
714,0,1,1,52.0,0,0,164,85,0,3
715,0,2,1,19.0,0,0,348,24,141,3
716,1,0,0,38.0,0,0,610,243,67,1
717,1,1,0,27.0,0,0,293,72,117,3
718,0,2,1,29.7,0,0,440,102,0,2
719,0,2,1,33.0,0,0,319,31,0,3
720,1,1,0,6.0,0,1,155,162,0,3
721,0,2,1,17.0,1,0,408,13,0,3
722,0,1,1,34.0,0,0,65,85,0,3
723,0,1,1,50.0,0,0,161,85,0,3
724,1,0,1,27.0,1,0,51,189,138,3
725,0,2,1,20.0,0,0,266,54,0,3
726,1,1,0,30.0,3,0,252,123,0,3
727,1,2,0,29.7,0,0,451,28,0,2
728,0,1,1,25.0,1,0,127,138,0,3
729,0,2,0,25.0,1,0,667,41,0,3
730,1,0,0,29.0,0,0,141,240,33,3
731,0,2,1,11.0,0,0,216,115,0,1
732,0,1,1,29.7,0,0,137,0,0,3
733,0,1,1,23.0,0,0,228,85,0,3
734,0,1,1,23.0,0,0,119,85,0,3
735,0,2,1,28.5,0,0,495,109,0,3
736,0,2,0,48.0,1,3,676,165,0,3
737,1,0,1,35.0,0,0,608,247,16,1
738,0,2,1,29.7,0,0,349,40,0,3
739,0,2,1,29.7,0,0,364,40,0,3
740,1,0,1,29.7,0,0,82,153,106,3
741,0,0,1,36.0,1,0,91,215,68,3
742,1,0,0,21.0,2,2,602,245,36,1
743,0,2,1,24.0,1,0,477,109,0,3
744,1,2,1,31.0,0,0,662,41,0,3
745,0,0,1,70.0,1,1,680,206,21,3
746,0,2,1,16.0,1,1,551,120,0,3
747,1,1,0,30.0,0,0,165,85,0,3
748,0,0,1,19.0,1,0,35,189,101,3
749,0,2,1,31.0,0,0,287,30,0,2
750,1,1,0,4.0,1,1,234,129,0,3
751,1,2,1,6.0,0,1,486,81,119,3
752,0,2,1,33.0,0,0,312,64,0,3
753,0,2,1,23.0,0,0,351,40,0,3
754,1,1,0,48.0,1,2,106,202,0,3
755,1,1,1,0.67,1,1,166,96,0,3
756,0,2,1,28.0,0,0,404,33,0,3
757,0,1,1,18.0,0,0,238,76,0,3
758,0,2,1,34.0,0,0,424,43,0,3
759,1,0,0,33.0,0,0,0,223,41,3
760,0,2,1,29.7,0,0,420,96,0,3
761,0,2,1,41.0,0,0,646,14,0,3
762,1,2,1,20.0,0,0,191,17,0,1
763,1,0,0,36.0,1,2,33,232,48,3
764,0,2,1,16.0,0,0,327,31,0,3
765,1,0,0,51.0,1,0,71,213,93,3
766,0,0,1,29.7,0,0,18,174,0,1
767,0,2,0,30.5,0,0,436,30,0,2
768,0,2,1,29.7,1,0,469,133,0,2
769,0,2,1,32.0,0,0,511,48,0,3
770,0,2,1,24.0,0,0,313,64,0,3
771,0,2,1,48.0,0,0,407,36,0,3
772,0,1,0,57.0,0,0,619,72,137,3
773,0,2,1,29.7,0,0,201,16,0,1
774,1,1,0,54.0,1,3,236,129,0,3
775,0,2,1,18.0,0,0,330,30,0,3
776,0,2,1,29.7,0,0,481,30,144,2
777,1,2,0,5.0,0,0,432,81,0,3
778,0,2,1,29.7,0,0,450,28,0,2
779,1,0,0,43.0,0,1,141,240,23,3
780,1,2,0,13.0,0,0,208,17,0,1
781,1,0,0,17.0,1,0,89,195,20,3
782,0,0,1,29.0,0,0,26,153,113,3
783,0,2,1,29.7,1,2,675,131,0,3
784,0,2,1,25.0,0,0,643,12,0,3
785,0,2,1,25.0,0,0,474,18,0,3
786,1,2,0,18.0,0,0,243,20,0,3
787,0,2,1,8.0,4,1,480,151,0,2
788,1,2,1,1.0,1,2,548,122,0,3
789,0,0,1,46.0,0,0,592,216,45,1
790,0,2,1,29.7,0,0,66,30,0,2
791,0,1,1,16.0,0,0,139,138,0,3
792,0,2,0,29.7,6,2,568,205,0,3
793,0,0,1,29.7,0,0,597,156,0,1
794,0,2,1,25.0,0,0,350,40,0,3
795,0,1,1,39.0,0,0,223,85,0,3
796,1,0,0,49.0,0,0,87,137,95,3
797,1,2,0,31.0,0,0,383,55,0,3
798,0,2,1,30.0,0,0,206,17,0,1
799,0,2,0,30.0,1,1,307,133,0,3
800,0,1,1,34.0,0,0,164,85,0,3
801,1,1,0,31.0,1,1,556,139,0,3
802,1,0,1,11.0,1,2,33,232,48,3
803,1,2,1,0.42,0,1,174,52,0,1
804,1,2,1,27.0,0,0,338,10,0,3
805,0,2,1,31.0,0,0,320,31,0,3
806,0,0,1,39.0,0,0,12,0,12,3
807,0,2,0,18.0,0,0,336,31,0,3
808,0,1,1,39.0,0,0,154,85,0,3
809,1,0,0,33.0,1,0,51,189,138,3
810,0,2,1,26.0,0,0,339,39,0,3
811,0,2,1,39.0,0,0,519,133,0,3
812,0,1,1,35.0,0,0,222,72,0,3
813,0,2,0,6.0,4,2,333,158,0,3
814,0,2,1,30.5,0,0,427,43,0,3
815,0,0,1,29.7,0,0,15,0,17,3
816,0,2,0,23.0,0,0,671,41,0,3
817,0,1,1,31.0,1,1,618,170,0,1
818,0,2,1,43.0,0,0,543,5,0,3
819,0,2,1,10.0,3,2,337,147,0,3
820,1,0,0,52.0,1,1,67,227,38,3
821,1,2,1,27.0,0,0,269,54,0,3
822,0,0,1,38.0,0,0,97,0,0,3
823,1,2,0,27.0,0,1,486,81,119,3
824,0,2,1,2.0,4,1,249,175,0,3
825,0,2,1,29.7,0,0,448,9,0,2
826,0,2,1,29.7,0,0,80,193,0,3
827,1,1,1,1.0,0,2,618,170,0,1
828,1,2,1,29.7,0,0,442,30,0,2
829,1,0,0,62.0,0,0,32,218,22,0
830,1,2,0,15.0,1,0,188,94,0,1
831,1,1,1,0.83,1,1,237,114,0,3
832,0,2,1,29.7,0,0,199,17,0,1
833,0,2,1,23.0,0,0,342,36,0,3
834,0,2,1,18.0,0,0,107,47,0,3
835,1,0,0,39.0,1,1,609,221,131,1
836,0,2,1,21.0,0,0,268,54,0,3
837,0,2,1,29.7,0,0,485,43,0,3
838,1,2,1,32.0,0,0,80,193,0,3
839,1,0,1,29.7,0,0,62,152,69,1
840,0,2,1,20.0,0,0,647,41,0,3
841,0,1,1,16.0,0,0,619,72,0,3
842,1,0,0,30.0,0,0,47,157,0,1
843,0,2,1,34.5,0,0,205,4,0,1
844,0,2,1,17.0,0,0,264,54,0,3
845,0,2,1,42.0,0,0,563,22,0,3
846,0,2,1,29.7,6,2,568,205,0,3
847,0,2,1,35.0,0,0,359,40,0,1
848,0,1,1,28.0,0,1,155,162,0,3
849,1,0,0,29.7,1,0,84,224,87,1
850,0,2,1,4.0,4,2,333,158,0,3
851,0,2,1,74.0,0,0,317,31,0,3
852,0,2,0,9.0,1,1,203,101,0,1
853,1,0,0,16.0,0,1,591,173,100,3
854,0,1,0,44.0,1,0,144,138,0,3
855,1,2,0,18.0,0,1,484,61,0,3
856,1,0,0,45.0,1,1,453,239,0,3
857,1,0,1,51.0,0,0,23,143,120,3
858,1,2,0,24.0,0,3,194,116,0,1
859,0,2,1,29.7,0,0,178,17,0,1
860,0,2,1,41.0,2,0,399,92,0,3
861,0,1,1,21.0,1,0,221,76,0,3
862,1,0,0,48.0,0,0,88,137,95,3
863,0,2,0,29.7,6,2,568,205,0,3
864,0,1,1,24.0,0,0,120,85,0,3
865,1,1,0,42.0,0,0,126,85,0,3
866,1,1,0,27.0,1,0,632,89,0,1
867,0,0,1,31.0,0,0,590,184,7,3
868,0,2,1,29.7,0,0,309,64,0,3
869,1,2,1,4.0,1,1,344,74,0,3
870,0,2,1,26.0,0,0,387,40,0,3
871,1,0,0,47.0,1,1,54,188,103,3
872,0,0,1,33.0,0,0,502,2,35,3
873,0,2,1,47.0,0,0,303,58,0,3
874,1,1,0,28.0,1,0,575,132,0,1
875,1,2,0,15.0,0,0,195,16,0,1
876,0,2,1,20.0,0,0,504,69,0,3
877,0,2,1,19.0,0,0,358,40,0,3
878,0,2,1,29.7,0,0,363,40,0,3
879,1,0,0,56.0,0,1,59,221,71,1
880,1,1,0,25.0,0,1,115,138,0,3
881,0,2,1,33.0,0,0,394,40,0,3
882,0,2,0,22.0,0,0,508,73,0,3
883,0,1,1,28.0,0,0,565,72,0,3
884,0,2,1,25.0,0,0,650,12,0,3
885,0,2,0,39.0,0,5,480,151,0,2
886,0,1,1,27.0,0,0,101,85,0,3
887,1,0,0,19.0,0,0,14,153,31,3
888,0,2,0,29.7,1,2,675,131,0,3
889,1,0,1,26.0,0,0,8,153,61,1
890,0,2,1,32.0,0,0,466,30,0,2
